date,ticker,market_cap,eps_ttm
2023-06-01,TRU,14.067,1.33
2023-06-01,ESS,14.562,7.53
2023-06-01,INCY,13.722,1.44
2023-06-01,BEP,13.643,-0.54
2023-06-01,AVTR,13.435,0.91
2023-06-01,AMH,14.349,0.87
2023-06-01,KKPNY,13.798,0.19
2023-06-01,AKAM,13.919,3.11
2023-06-01,SSNC,13.781,2.33
2023-06-01,AER,13.847,7.19
2023-06-01,SIRI,14.313,0.29
2023-06-01,HDELY,13.957,1.82
2023-06-01,SNA,13.374,17.42
2023-06-01,ZBRA,13.691,7.95
2023-06-01,GFL,13.626,-1.27
2023-06-01,GFI,14.223,0.78
2023-06-01,COIN,14.911,-10.96
2023-06-01,AES,13.306,-0.77
2023-06-01,SHG,13.416,6.41
2023-06-01,SYF,13.521,5.73
2023-06-01,AVY,12.916,8.32
2023-06-01,EVRG,13.138,3.36
2023-06-01,SNN,13.117,0.51
2023-06-01,NIO,12.933,-1.18
2023-06-01,MGDDY,12.81,
2023-06-01,TECH,12.861,1.68
2023-06-01,TAP,13.477,-1.18
2023-06-01,SGIOY,13.347,1.19
2023-06-01,PTCAY,13.074,-0.71
2023-06-01,CFG,12.772,4.17
2023-06-01,EQT,12.694,11.43
2023-06-01,CUK,13.68,-4.08
2023-06-01,CHWY,15.306,0.12
2023-06-01,L,12.851,4.48
2023-06-01,GGG,12.994,2.83
2023-06-01,FMC,13.051,6.46
2023-06-01,STX,12.694,-0.83
2023-06-01,WMG,12.585,0.83
2023-06-01,BAM,12.932,5.26
2023-06-01,FMS,12.698,1.1
2023-06-01,LNT,12.798,2.59
2023-06-01,POOL,12.22,16.87
2023-06-01,BAH,13.182,2.03
2023-06-01,WDC,12.468,-2.19
2023-06-01,TME,13.375,0.36
2023-06-01,TXT,12.567,4.05
2023-06-01,WSO,12.681,15.33
2023-06-01,NDSN,12.639,8.89
2023-06-01,ELS,12.397,1.52
2023-06-01,MMP,12.17,4.68
2023-06-01,GLPI,12.758,2.92
2023-06-01,BEN,12.231,1.66
2023-06-01,DECK,12.165,19.37
2023-06-01,CF,11.747,15.02
2023-06-01,OMRNY,12.057,2.43
2023-06-01,JBL,11.935,6.89
2023-06-01,NICE,13.049,4.49
2023-06-01,HTHT,12.382,-0.81
2023-06-01,BOUYY,12.201,0.54
2023-06-01,SWK,11.66,-1.15
2023-06-01,HST,11.913,1.12
2023-06-01,SUZ,11.775,2.76
